feature,XGBoost_importance,importance_std_x,LightGBM_importance,importance_std_y,CatBoost_importance,importance_std,mean_importance,XGBoost_rank,LightGBM_rank,CatBoost_rank,mean_rank
chroniccond_rheumatoidarthritis,0.006506854,0.0005537573,8.2,1.1661903789690602,0.020460594224151356,0.0038086132610928368,1.5662533663264055,45.0,35.0,30.0,36.666666666666664
chroniccond_diabetes,0.006509684,0.00029221262,5.8,2.3151673805580453,0.010220329287258403,0.00582665945240144,1.3563360443231616,44.0,41.0,39.0,41.333333333333336
hasdiag_5849.0,0.00615081,0.0009895074,5.6,2.33238075793812,0.002467901609324776,0.0018399066764367299,1.3239714806149985,69.0,43.0,58.0,56.666666666666664
any_max_deductible_1068,0.007119687,0.0005846217,5.8,1.9390719429665317,0.009944342818513389,0.006578870374521748,1.2938832441081507,22.0,41.0,40.0,34.333333333333336
hasdiag_4019.0,0.0057009915,0.00024865475,4.6,2.244994432064365,0.002548388628602265,0.0030013626134889376,1.1427489715901613,88.0,44.0,57.0,63.0
hasdiag_486.0,0.0053734137,0.0003399715,3.4,3.4409301068170506,0.0011798096632815273,0.0007138545956286638,1.1414228593760885,97.0,47.0,80.0,74.66666666666667
chroniccond_kidneydisease,0.006834426,0.000280745,4.6,1.8547236990991407,0.006102653910182477,0.004153326614050757,1.0786824750990276,37.0,44.0,46.0,42.333333333333336
hasproc_3950.0,0.003917062,0.00046135677,3.2,3.1874754901018454,0.0002897203517025639,0.0005794407034051278,1.0654538450198265,119.0,49.0,127.0,98.33333333333333
procedure_count,0.0054746307,0.0005896213,3.2,3.1240998703626617,0.0060321186569123,0.0033568404174317387,1.0565921802486318,95.0,49.0,47.0,63.666666666666664
hasdiag_311.0,0.006335508,0.0005575421,3.8,2.227105745132009,0.0015367028505600907,0.001876867564717704,1.0062353942842803,53.0,46.0,68.0,55.666666666666664
noofmonths_partbcov,0.007696568,0.0005671273,3.0,2.5298221281347035,0.007121342530030071,0.002110465612259058,0.9245529386036312,12.0,51.0,44.0,35.666666666666664
hasdiag_41400.0,0.0059806025,0.00026547164,2.8,2.7129319932501073,0.001932581453027727,0.0017342122333011821,0.9204741435065426,74.0,55.0,64.0,64.33333333333333
ipannualdeductibleamt_is1068,0.0064045712,0.00015231459,3.4,1.8547236990991407,0.012402594949651902,0.007422118727700423,0.8801842164337964,51.0,47.0,38.0,45.333333333333336
inscclaimamtreimbursed_log1p,0.0061038327,0.0003500282,3.0,2.0976176963403033,0.03485330426781296,0.007507921653349605,0.857738797198489,70.0,51.0,22.0,47.666666666666664
hasdiag_4280.0,0.0062541664,0.0008573548,3.0,2.0,0.002413678595303474,0.0014358397032092295,0.835160173240873,63.0,51.0,59.0,57.666666666666664
chroniccond_ischemicheart,0.006906724,0.00030494214,2.8,1.9390719429665315,0.008041982373951418,0.004574378122427118,0.7931499949446462,29.0,55.0,42.0,42.0
hasdiag_4011.0,0.0068763318,0.0006430261,2.2,2.4,0.0010184640476375143,0.0020369280952750287,0.7684291249967748,33.0,59.0,87.0,59.666666666666664
hasdiag_25000.0,0.006268925,0.00018202564,3.0,0.8944271909999159,0.003121513618124207,0.00349403965559039,0.6512489491585034,61.0,51.0,53.0,55.0
hasdiag_49390.0,0.004893363,0.00069547235,2.0,1.8973665961010275,0.0012116599213863692,0.0012723282555768356,0.6509065699360203,110.0,60.0,79.0,83.0
hasdiag_496.0,0.007001226,0.0009490801,2.6,1.019803902718557,0.0017926849850556845,0.0019130774238968265,0.6052433285110383,25.0,57.0,65.0,49.0
ipannualdeductibleamt_log1p,0.0069057755,0.0007708605,2.4,1.019803902718557,0.03015690154669946,0.010257000784379692,0.577982406848851,30.0,58.0,25.0,37.666666666666664
any_chronic_condition,0.006341928,0.00037193415,2.0,1.2649110640673518,0.0012270852045918382,0.0015739516126420377,0.5457376605304404,52.0,60.0,78.0,63.333333333333336
deductibleamtpaid_log1p,0.009609001,0.0034762537,1.6,1.4966629547095767,0.09611643952248779,0.017154079302741203,0.5371697880004715,10.0,62.0,4.0,25.333333333333332
hasdiag_2449.0,0.0062122904,0.00038907636,1.2,1.9390719429665317,0.002155172890318596,0.002327385224297386,0.5250259779699119,65.0,71.0,60.0,65.33333333333333
hasdiag_73300.0,0.0063121505,0.00026797832,1.2,1.9390719429665317,0.0025550961101068223,0.00048276018966098016,0.5247816546825879,56.0,71.0,56.0,61.0
hasproc_9904.0,0.0052419933,0.00043694748,1.0,2.0,0.0014839948111477726,0.0009257715050720373,0.5013481178570913,102.0,79.0,70.0,83.66666666666667
hasdiag_412.0,0.00663183,0.00081990566,1.2,1.5999999999999999,0.00071682454449377,0.000642815012060549,0.4681352291655784,40.0,71.0,100.0,70.33333333333333
hasdiag_72887.0,0.0065185474,0.0008545147,1.2,1.4696938456699067,0.001161098972690631,0.0008499309568726519,0.4465129896227531,43.0,71.0,81.0,65.0
deductibleamtpaid_is1068,0.006993561,0.0051782434,1.6,1.019803902718557,0.015978439449635583,0.012596221488562489,0.4434250613493385,26.0,62.0,32.0,40.0
hasdiag_30000.0,0.0057994467,0.00022854863,1.4,1.2000000000000002,0.0010906394821949797,0.0014204506611272731,0.43475651424835576,81.0,64.0,84.0,76.33333333333333
hasdiag_2720.0,0.006169427,0.0004947698,1.4,1.019803902718557,0.0012776687111044035,0.0011172509799577744,0.4048105032283745,66.0,64.0,76.0,68.66666666666667
hasdiag_2724.0,0.0057860976,0.0004751468,1.4,1.019803902718557,0.0011432354417692488,0.0014435000889421717,0.4047753137775842,83.0,64.0,82.0,76.33333333333333
hasdiag_5990.0,0.0052464376,0.00040410814,1.4,1.019803902718557,0.0013433658016398775,0.0012577102191912526,0.40467592075014047,100.0,64.0,75.0,79.66666666666667
hasdiag_58881.0,0.006083233,0.001321662,1.2,1.1661903789690602,0.0014385156789906068,0.0015178666381148254,0.3960919426811704,72.0,71.0,72.0,71.66666666666667
hasdiag_4439.0,0.0066227554,0.0009865464,1.2,1.1661903789690602,0.000685162593510665,0.0010050384668448015,0.3959149803096991,41.0,71.0,102.0,71.33333333333333
hasdiag_53081.0,0.005934127,0.00044691365,1.4,0.8,0.0020231808768534144,0.0010234827103584544,0.3682379507292446,77.0,64.0,63.0,68.0
hasproc_2724.0,0.0051529217,0.0011157087,1.4,0.8,0.0007154378418853001,0.0007067459667443244,0.3679484690324934,106.0,64.0,101.0,90.33333333333333
hasdiag_71590.0,0.0064476123,0.00014455363,1.2,0.9797958971132712,0.0013820535330943357,0.0015241622678327479,0.3648823798091454,49.0,71.0,73.0,64.33333333333333
hasdiag_3051.0,0.005796487,0.00040314996,1.2,0.9797958971132713,0.0009383495147940246,0.0014730489872619079,0.3647344887580814,82.0,71.0,91.0,81.33333333333333
deceased_flag,0.006836006,0.0003753489,0.8,1.1661903789690602,0.0020562237201598157,0.0013120758692194824,0.32946167223510464,36.0,81.0,62.0,59.666666666666664
hasdiag_78605.0,0.0064442703,0.0007177265,0.8,1.1661903789690602,0.0013682276719260765,0.0009987929936139963,0.32928656606156576,50.0,81.0,74.0,68.33333333333333
hasdiag_42731.0,0.006330161,0.0006388782,1.0,0.8944271909999159,0.0008976065702102031,0.0012250970339045847,0.31725315561659934,55.0,79.0,94.0,76.0
hasdiag_5859.0,0.006676181,0.0007142361,1.4,0.4898979485566356,0.0028859163922873173,0.002445211935816023,0.3171032490363276,39.0,64.0,55.0,52.666666666666664
hasdiag_78659.0,0.005652524,0.00084577734,0.6,1.2000000000000002,0.0015115576633573937,0.0021145148613046162,0.30168739565439945,89.0,86.0,69.0,81.33333333333333
hasproc_4516.0,0.005184031,0.0005452041,0.6,1.2,0.0004819309455350664,0.0003941825683125808,0.30110089144978197,104.0,86.0,113.0,101.0
claimquarter,0.0053618886,0.00033582543,0.8,0.7483314773547883,0.014278541051314753,0.004085733800213803,0.26206557769942446,98.0,81.0,35.0,71.33333333333333
hasdiag_41401.0,0.007375135,0.0009444323,0.8,0.7483314773547883,0.0009371762174282261,0.0009672615697306815,0.25975924708450887,16.0,81.0,92.0,63.0
claimyear,0.005210582,0.0003809385,0.8,0.7483314773547883,0.0006614347353928365,0.0008703261975166303,0.2592424598248255,103.0,81.0,105.0,96.33333333333333
hasdiag_2768.0,0.006167084,0.00051923614,0.6,0.7999999999999999,0.0005687366316587449,0.0007031464520689064,0.2346597005341103,67.0,86.0,106.0,86.33333333333333
hasdiag_2809.0,0.005862936,0.00043688924,0.6,0.7999999999999999,0.0004969735466956312,0.0006108013980154281,0.23456793334951553,78.0,86.0,112.0,92.0
hasdiag_42789.0,0.005242644,0.0002854913,0.6,0.7999999999999999,0.0006650128248356742,0.0007146383577018783,0.23448463105825113,101.0,86.0,104.0,97.0
hasproc_9390.0,0.0030936392,0.0026206563,0.6,0.7999999999999999,0.0003652159933984063,0.0007304319867968126,0.2344683239020278,125.0,86.0,119.0,110.0
hasdiag_2761.0,0.004836014,0.0005880217,0.4,0.8,0.000375842024152271,0.00047421477167664265,0.20104568208481763,111.0,92.0,118.0,107.0
hasproc_5849.0,0.0033471459,0.000486355,0.4,0.8000000000000002,0.0005038536406746848,0.0004368764647956083,0.20079570516293396,122.0,92.0,109.0,107.66666666666667
hasdiag_78079.0,0.0062711523,0.0009129262,0.4,0.48989794855663565,0.0009176938861889461,0.001529195305184147,0.1499214860429104,59.0,92.0,93.0,81.33333333333333
hasdiag_78650.0,0.006003543,0.00050853146,0.4,0.48989794855663565,0.0015651408343722866,0.001324106687695096,0.14988321172405536,73.0,92.0,66.0,77.0
hasdiag_28521.0,0.0056165094,0.00038249837,0.4,0.48989794855663565,0.002111719990488422,0.0011877493894495758,0.1498660709440874,91.0,92.0,61.0,81.33333333333333
hasdiag_2859.0,0.0063315085,0.0006240855,0.4,0.48989794855663565,0.0008816285074394146,0.0009675008503078028,0.14978377865223208,54.0,92.0,95.0,80.33333333333333
hasdiag_27651.0,0.0055487044,0.00046726645,0.4,0.48989794855663565,0.0012581494986967623,0.0010802438281413858,0.1497087187916504,93.0,92.0,77.0,87.33333333333333
hasdiag_7295.0,0.0058270395,0.0010461851,0.4,0.48989794855663565,0.0004981188757457947,0.00046435770162140614,0.14962227496051536,79.0,92.0,111.0,94.0
hasproc_3722.0,0.005481768,0.0010625452,0.4,0.48989794855663565,0.00046713571863463263,0.0005279898112026354,0.14957289787452924,94.0,92.0,114.0,100.0
hasdiag_40390.0,0.005273838,0.0001982237,0.4,0.48989794855663565,9.234332457430227e-05,0.0001846866491486045,0.1492745067155102,99.0,92.0,135.0,108.66666666666667
hasproc_5123.0,0.0045287358,0.0004564701,0.4,0.48989794855663565,0.00021642986020864533,0.00022169165800063438,0.14922021265551538,114.0,92.0,129.0,111.66666666666667
procedure_unique_count,0.0060989745,0.002749512,0.2,0.4,0.006541512682563637,0.0034198078666959884,0.1031349678362426,71.0,103.0,45.0,73.0
hasdiag_7823.0,0.006931578,0.0014388826,0.2,0.4000000000000001,0.0010193254451652575,0.001332963527265437,0.10178712488879028,27.0,103.0,86.0,72.0
hasdiag_2722.0,0.006876511,0.0010675519,0.2,0.4,0.0005296431116229218,0.0005694996477044166,0.10150720094893075,32.0,103.0,107.0,80.66666666666667
hasdiag_60000.0,0.005778563,0.00070900447,0.2,0.4000000000000001,0.0015649585000501857,0.0009259764017481827,0.10149641709633829,84.0,103.0,67.0,84.66666666666667
hasdiag_2948.0,0.0064940667,0.00071872876,0.2,0.4,0.00041898877773110816,0.0008379775554622163,0.10141162696113028,46.0,103.0,116.0,88.33333333333333
hasdiag_7242.0,0.0057565197,0.0007693468,0.2,0.4,0.001118831713469832,0.0007651271661750393,0.10140163756538663,85.0,103.0,83.0,90.33333333333333
hasdiag_7812.0,0.005713268,0.0003326594,0.2,0.4,0.0008769726810774882,0.0008096385340195871,0.10128875646662235,87.0,103.0,96.0,95.33333333333333
hasproc_8154.0,0.0044467794,0.002224294,0.2,0.4000000000000001,0.0003787601402299127,0.00046484760858369207,0.10125244685494522,115.0,103.0,117.0,111.66666666666667
hasdiag_5853.0,0.005176387,0.00050736393,0.2,0.4000000000000001,0.0010602401824173235,0.0005069720491724662,0.10120849382677775,105.0,103.0,85.0,97.66666666666667
hasproc_9671.0,0.004573452,0.0008555841,0.2,0.4000000000000001,0.0005225064516991733,0.0006312489650089563,0.10109713189041337,113.0,103.0,108.0,108.0
hasproc_4513.0,0.0038910054,0.000776561,0.2,0.4000000000000001,0.0009818918246821766,0.0006839515568535961,0.101055568295374,120.0,103.0,88.0,103.66666666666667
hasproc_4019.0,0.004348595,0.00047653512,0.2,0.4,0.0004603025192762158,0.0009206050385524314,0.10103433963957838,117.0,103.0,115.0,111.66666666666667
hasproc_3995.0,0.004287761,0.0009937297,0.2,0.4,0.0003635846256370508,0.0004964278455073873,0.10102358388783246,118.0,103.0,120.0,113.66666666666667
hasproc_9672.0,0.00293287,0.0025531717,0.2,0.4,0.0002846938154400765,0.0002485411506360357,0.10100321278986446,126.0,103.0,128.0,119.0
hasdiag_7802.0,0.006257297,0.0013917648,0.0,0.0,0.0009435687797299987,0.0012403405731960914,0.0016388285341768088,62.0,117.0,90.0,89.66666666666667
hasdiag_56210.0,0.0059620193,0.0007485948,0.0,0.0,0.0014766443096097747,0.0010435995917788521,0.0015384763395571927,75.0,117.0,71.0,87.66666666666667
hasdiag_27800.0,0.006569843,0.000861384,0.0,0.0,0.0005013490919318512,0.00041275654596464585,0.0013908887367328733,42.0,117.0,110.0,89.66666666666667
hasdiag_5856.0,0.005123421,0.00027669186,0.0,0.0,0.0008713732968351852,0.0010673279182419853,0.001223135693599156,107.0,117.0,97.0,107.0
hasproc_66.0,0.0043654824,0.0012428391,0.0,0.0,0.0009589865067263406,0.0006417113619040726,0.0012015032309008347,116.0,117.0,89.0,107.33333333333333
hasproc_3812.0,0.0036595284,0.0021241386,0.0,0.0,0.00029354232092000996,0.0003095757086033009,0.001064464186490148,121.0,117.0,126.0,121.33333333333333
hasproc_9339.0,0.0031813718,0.0028085993,0.0,0.0,9.330501925332149e-05,0.00010961957726119568,0.0010321492835873058,124.0,117.0,133.0,124.66666666666667
hasproc_3893.0,0.004808506,0.0007481166,0.0,0.0,0.0003074277031182921,0.00026914493236402276,0.0010221992022965208,112.0,117.0,125.0,118.0
hasproc_8872.0,0.004940476,0.00058946497,0.0,0.0,0.00033520025817224597,0.00024145434108247433,0.0010177658946442342,109.0,117.0,121.0,115.66666666666667
hasproc_8151.0,0.002913729,0.00150209,0.0,0.0,0.000787933455230333,0.0006624582520056724,0.0009777017965667668,127.0,117.0,98.0,114.0
hasproc_311.0,0.0028257356,0.0014237917,0.0,0.0,0.0006677256737718365,0.000699871812871683,0.0009361874730957094,128.0,117.0,103.0,116.0
hasproc_8152.0,0.0032621298,0.0017201214,0.0,0.0,0.0003146170289233145,0.00027871394170497825,0.000929263696483975,123.0,117.0,124.0,121.33333333333333
hasproc_3772.0,0.002376232,0.0021075548,0.0,0.0,0.00015839126397734467,0.0001962006050587897,0.0008063964577134742,129.0,117.0,131.0,125.66666666666667
hasproc_7935.0,0.0019774667,0.0016621914,0.0,0.0,0.0003287862134354605,0.000442650436852982,0.0007351824580662515,131.0,117.0,122.0,123.33333333333333
hasproc_3491.0,0.0021173856,0.0017588112,0.0,0.0,0.00018563967645221697,0.00020046388590204856,0.0007103833941580055,130.0,117.0,130.0,125.66666666666667
claim_date_mismatch,0.0010810283,0.0013268455,0.0,0.0,0.00032237619964245814,0.0002840473548683675,0.0005023828837301919,132.0,117.0,123.0,124.0
ipannualreimbursementamt_hasrefund,0.0,0.0,0.0,0.0,0.0007871967773157662,0.0012204370489084441,0.0003346056377040351,133.0,117.0,99.0,116.33333333333333
opannualdeductibleamt_is1068,0.0,0.0,0.0,0.0,9.236298614698304e-05,7.450302662020493e-05,2.7811002127864662e-05,133.0,117.0,134.0,128.0
opannualreimbursementamt_hasrefund,0.0,0.0,0.0,0.0,9.826498232570006e-05,6.859280511354159e-05,2.780963123987361e-05,133.0,117.0,132.0,127.33333333333333
hasdiag_5939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,117.0,136.0,128.66666666666666
hasproc_5491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,117.0,136.0,128.66666666666666
renaldiseaseindicator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,117.0,136.0,128.66666666666666
